PAMID,CountryCode,Country,PAM No,Name,Objective,Description,Type of instrument,Primary EU policy responsible objectives,Secondary EU policy responsible objectives,Tertiary EU policy responsible objectives,Related EU policies,Affected GHG,Link to EU Emissions Trading Scheme ETS,Targeted sectors,Status,Start year,End year,Comment on implementation period,Type of implementing entities,Name of implementing entities,Projection scenario in which the PAM is included,Inclusion of estimate in projections,Indicators to monitor and evaluate implementation,2015 total kt CO2 equivalent per year:number,2015 EU ETS kt CO2:number,2015 non ETS kt CO2:number,2020 total kt CO2:number,2020 EU ETS kt CO2:number,2020 non ETS kt CO2:number,2025 total kt CO2:number,2030 total kt CO2:number,Average emission reduction kt CO2,Impact included in another policy or policy package,Other policy or policy package in which the impact is included,Reference source of estimation ,Years for which the reduction applies,Basis for estimate,Factors affected by PAM,Inclusion of savings related to EU policies,Costs in EUR per tonne CO2 equivalent reduced sequestered,Absolute costs per year in EUR,Description _ basis for cost estimate,Documentation _ source of cost estimate,Interaction with other policies and measures at the national or EU level,Details on policy interactions,Non GHG_mitigation benefits,Additional comment,Name or organisation providing information on policy,Check of mandatory reporting,Comments by MS
FR-ENS-022,FR,France,151,amélioration de la durabilité des concessions hydroélectriques,durabilité des énergies renouvelables,cf. rapport,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Energy supply: RES Directive 2009/28/EC (repealing RES-E Directive 2001/77/EC and Biofuel Directive 2003/30/EC),,,Energy supply: RES Directive 2009/28/EC (repealing RES-E Directive 2001/77/EC and Biofuel Directive 2003/30/EC),CO2,EU ETS,Energy supply,adopted,2010,,,National government,MEDDE/DGEC,with additional measures (WAM),,évaluation de la durabilité des ouvrages hydroélectriques,,,,,,,,,,,,,,,,,,?,coût supporté par les concessionnaires,,No,,,,,,
FR-ENS-023,FR,France,152,appels d'offres Biomasse,production d'énergie décarbonée,cf. rapport,Economic,Energy supply: RES Directive 2009/28/EC (repealing RES-E Directive 2001/77/EC and Biofuel Directive 2003/30/EC),Energy supply: Promotion of cogeneration (Directive 2004/8/EC),Energy supply: Promotion of cogeneration (Directive 2004/8/EC),Energy supply: RES Directive 2009/28/EC (repealing RES-E Directive 2001/77/EC and Biofuel Directive 2003/30/EC); Energy supply: Promotion of cogeneration (Directive 2004/8/EC); Energy supply: Promotion of cogeneration (Directive 2004/8/EC),CO2,"EU ETS, non EU ETS",Energy supply,implemented,2004,,,National government,MEDDE/DGEC,with additional measures (WAM),Evolutions post-2009 incluses dans le WEM (appel d'offre CRE4),capacité totale installée,,,,,,,,,,,,,,,,,,,coûts inclus dans les charges de la CSPE cités précédemment,,No,,,,,,
FR-ENS-024,FR,France,153,Programmation Pluriannuelle des Investissements de production de chaleur,production d'énergie décarbonée,cf. rapport,"Planning, Research, Education, Information, Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Energy supply: RES Directive 2009/28/EC (repealing RES-E Directive 2001/77/EC and Biofuel Directive 2003/30/EC),Energy supply: Promotion of cogeneration (Directive 2004/8/EC),Energy supply: Promotion of cogeneration (Directive 2004/8/EC),Energy supply: RES Directive 2009/28/EC (repealing RES-E Directive 2001/77/EC and Biofuel Directive 2003/30/EC); Energy supply: Promotion of cogeneration (Directive 2004/8/EC); Energy supply: Promotion of cogeneration (Directive 2004/8/EC),CO2,"EU ETS, non EU ETS",Energy supply,implemented,2009,2020,,National government,MEDDE/DGEC,with additional measures (WAM),,capacité totale installée,,,,,,,,,,,,,,,,,,,coûts inclus dans les charges de la CSPE cités précédemment,,No,,,,,,
FR-ENS-025,FR,France,154,appels d'offres éolien en mer,production d'énergie décarbonée,cf. rapport,Economic,Energy supply: RES Directive 2009/28/EC (repealing RES-E Directive 2001/77/EC and Biofuel Directive 2003/30/EC),,,Energy supply: RES Directive 2009/28/EC (repealing RES-E Directive 2001/77/EC and Biofuel Directive 2003/30/EC),CO2,EU ETS,Energy supply,planned,2011,,,National government,MEDDE/DGEC,with existing measures (WEM),,capacité totale installée,,,,,,,,,,,,,,,,,,,,,No,,,,,,
FR-ENS-026,FR,France,155,évolution des procédures administratives concernant les parcs éoliens,production d'énergie décarbonée,cf. rapport,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Energy supply: RES Directive 2009/28/EC (repealing RES-E Directive 2001/77/EC and Biofuel Directive 2003/30/EC),,,Energy supply: RES Directive 2009/28/EC (repealing RES-E Directive 2001/77/EC and Biofuel Directive 2003/30/EC),CO2,EU ETS,Energy supply,implemented,2010,,,National government,MEDDE/DGEC et DGPR,with existing measures (WEM),,capacité totale installée,,,,,,,,,,,,,,,,,,?,mesure réglementaire : coût public nul,,No,,,,,,
FR-ENS-027,FR,France,156,concertation et planification du développement de l'éolien en mer,durabilité des énergies renouvelables,cf. rapport,"Planning, Research, Education, Information, Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Energy supply: RES Directive 2009/28/EC (repealing RES-E Directive 2001/77/EC and Biofuel Directive 2003/30/EC),,,Energy supply: RES Directive 2009/28/EC (repealing RES-E Directive 2001/77/EC and Biofuel Directive 2003/30/EC),CO2,EU ETS,Energy supply,implemented,2009,2011,,National government,MEDDE/DGEC,with existing measures (WEM),,capacité totale installée,,,,,,,,,,,,,,,,,,,,,No,,,,,,
FR-ENS-028,FR,France,157,Exonération d'impôt sur le revenu des installations photovoltaïques domestiques de puissance inférieure ou égale à 3 kWc,production d'énergie décarbonée,cf. rapport,"Fiscal, Economic",Energy supply: RES Directive 2009/28/EC (repealing RES-E Directive 2001/77/EC and Biofuel Directive 2003/30/EC),,,Energy supply: RES Directive 2009/28/EC (repealing RES-E Directive 2001/77/EC and Biofuel Directive 2003/30/EC),CO2,EU ETS,Energy supply,implemented,2009,,,National government,MINEFI,with existing measures (WEM),,capacité totale installée,,,,,,,,,,,,,,,,,,,,,No,,,,,,
FR-ENS-029,FR,France,158,évolution des procédures administratives concernant les installations photovoltaïques,production d'énergie décarbonée,cf. rapport,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Energy supply: RES Directive 2009/28/EC (repealing RES-E Directive 2001/77/EC and Biofuel Directive 2003/30/EC),,,Energy supply: RES Directive 2009/28/EC (repealing RES-E Directive 2001/77/EC and Biofuel Directive 2003/30/EC),CO2,EU ETS,Energy supply,implemented,2009,,,National government,MEDDE/DGEC,with existing measures (WEM),,production d'énergie géothermique,,,,,,,,,,,,,,,,,,?,mesure réglementaire : coût public nul,,No,,,,,,
FR-CRS-012,FR,France,159,Création du Comité National de la Géothermie,production d'énergie décarbonée,cf. rapport,"Planning, Research, Education, Information, Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Energy supply: RES Directive 2009/28/EC (repealing RES-E Directive 2001/77/EC and Biofuel Directive 2003/30/EC),,,Energy supply: RES Directive 2009/28/EC (repealing RES-E Directive 2001/77/EC and Biofuel Directive 2003/30/EC),CO2,"EU ETS, non EU ETS","Cross-cutting, Land use / land-use change / forestry, Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2010,,,National government,"MEDDE, MINEFI",with existing measures (WEM),,production d'énergie géothermique,,,,,,,,,,,,,,,,,,,,,No,,,,,,
FR-CRS-013,FR,France,160,Soutien à la structuration de la filière géothermique (association française des professionnels de la géothermie),production d'énergie décarbonée,cf. rapport,"Other, Planning, Research, Education, Information, Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Energy supply: RES Directive 2009/28/EC (repealing RES-E Directive 2001/77/EC and Biofuel Directive 2003/30/EC),,,Energy supply: RES Directive 2009/28/EC (repealing RES-E Directive 2001/77/EC and Biofuel Directive 2003/30/EC),CO2,"EU ETS, non EU ETS","Cross-cutting, Land use / land-use change / forestry, Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2010,,,National government,"MEDDE,ADEME",with existing measures (WEM),,production d'énergie géothermique,,,,,,,,,,,,,,,,,,,,,No,,,,,,
FR-CRS-014,FR,France,161,évolution de la réglementation s'appliquant aux installations de géothermie,production d'énergie décarbonée,cf. rapport,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Energy supply: RES Directive 2009/28/EC (repealing RES-E Directive 2001/77/EC and Biofuel Directive 2003/30/EC),,,Energy supply: RES Directive 2009/28/EC (repealing RES-E Directive 2001/77/EC and Biofuel Directive 2003/30/EC),CO2,"EU ETS, non EU ETS","Cross-cutting, Land use / land-use change / forestry, Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",planned,2011,,,National government,MEDDE/DGEC et DGPR,with additional measures (WAM),,production d'énergie géothermique,,,,,,,,,,,,,,,,,,?,mesure réglementaire : coût public nul,,,,,,,,
FR-ENS-030,FR,France,162,soutien au développement des énergies marines,production d'énergie décarbonée,cf. rapport,"Research, Education, Information, Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Energy supply: RES Directive 2009/28/EC (repealing RES-E Directive 2001/77/EC and Biofuel Directive 2003/30/EC),,,Energy supply: RES Directive 2009/28/EC (repealing RES-E Directive 2001/77/EC and Biofuel Directive 2003/30/EC),CO2,EU ETS,Energy supply,adopted,2008,,,National government,MEDDE/DGEC,with existing measures (WEM),,"développement de la filière, capacité installée",,,,,,,,,,,,,,,,,,,,,,,,,,,
FR-WST-001,FR,France,163,hiérarchie de traitement des déchets  (loi n° 2009-967 du 3 août 2009 de programmation relative à la mise en œuvre du Grenelle de l'environnement et ordonnance 2010-1579 du 17 décembre 2010),objectifs généraux relatifs aux déchets,cf. rapport,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Waste: Waste Framework Directive (2008/98/EC) amending Directive on waste 2006/12/EE,Waste: Waste Framework Directive (Directive 2006/12/EC),Waste: Waste Framework Directive (Directive 2006/12/EC),Waste: Waste Framework Directive (2008/98/EC) amending Directive on waste 2006/12/EE; Waste: Waste Framework Directive (Directive 2006/12/EC); Waste: Waste Framework Directive (Directive 2006/12/EC),CH4,non EU ETS,"Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",adopted,2010,,,National government,MEDDE,with existing measures (WEM),,"Production d’ordures ménagères et assimilés en kg/habitants, Déchets ménagers et assimilés recyclés, Déchets banals des entreprises recyclés, Quantité de déchets incinérés ou stockés",,,,,,,,,,,PAM 164,Cf. France 2013 submission under the MMD,,,,,,221 M€,"Les crédits consacrés annuellement à cette politique passeront ainsi de 57 M€ d’autorisations d’engagement en 2008 à 98 M€ en 2009, 166 M€ en 2010 et 221 M€ pour 2011, 2012 et 2013. Ces montants sont confiés à l’ADEME dans le cadre de sa mission d’opérate",,,,NA,,,,
FR-WST-002,FR,France,164,objectifs de la Loi n° 2009-967 du 3 août 2009 de programmation relative à la mise en œuvre du Grenelle de l'environnement sur la réduction de la production de déchets et le recyclage et plan d'actions 2009-2012 sur les déchets,objectifs généraux relatifs aux déchets,cf. rapport,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,"Waste: Packaging and packaging waste (94/62/EC, 2004/12/EC, 2005/20/EC)","Waste: Packaging and packaging waste (Directive 94/62/EC, 2004/12/EC, 2005/20/EC)","National policy not related to EU policies; Waste: Packaging and packaging waste (94/62/EC, 2004/12/EC, 2005/20/EC); Waste: Packaging and packaging waste (Directive 94/62/EC, 2004/12/EC, 2005/20/EC)",CH4,non EU ETS,"Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",adopted,2009,,,National government,MEDDE,with existing measures (WEM),,"Production d’ordures ménagères et assimilés en kg/habitants, Déchets ménagers et assimilés recyclés, Déchets banals des entreprises recyclés, Quantité de déchets incinérés ou stockés",,,,391,,391,,,,,,Cf. France 2013 submission under the MMD,,,,,,,,,,,NA,colonne N et colonne O : les objectifs fixés par la loi n° 2009-967 du 3 août 2009 de programmation relative à la mise en œuvre du Grenelle de l'environnement permettent d'aller plus loin que les textes communautaires sur les déchets d'emballage,,,
FR-WST-003,FR,France,165,collecte et recyclage des déchets électriques et électroniques,prévention de la production de déchets et augmentation du recyclage,cf. rapport,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Waste: Directives on waste electrical and electronic equipment (WEEE) 2002/95/EC,,,Waste: Directives on waste electrical and electronic equipment (WEEE) 2002/95/EC,"CO2, CH4, N2O, HFC, PFC, SF6",non EU ETS,"Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2005,,,National government,MEDDE,with existing measures (WEM),,% de déchets collectés et recyclés,,,,,,,,,,,,,,,,,,,,,,,NA,,,,
FR-WST-004,FR,France,166,obligation de tri à la source en vue d’une valorisation pour les gros producteur de biodéchets (Art 80 loi n° 2010-788 du 12 juillet 2010 portant engagement national pour l'environnement),objectifs généraux relatifs aux déchets,cf. rapport,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,,,National policy not related to EU policies,CH4,non EU ETS,"Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",adopted,2010,,,Not available,,with existing measures (WEM),,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,,
FR-WST-005,FR,France,167,Collectivités :obligation réglementaire de mise en place de programmes locaux de prévention (LG2),Prévention de la production de déchets,cf. rapport,"Planning, Research, Education, Information, Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,,,National policy not related to EU policies,CH4,non EU ETS,"Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",adopted,2010,,,"National government, Regional entities",MEDDE/ Collectivités territoriales,with existing measures (WEM),,nombre de collectivités ayant adopté un programme de prévention des déchets,,,,,,,,,,,,,,,,,,,,,,,NA,,,,
FR-WST-006,FR,France,168,Collectivités : mise en place de la tarification incitative (LG1),Prévention de la production de déchets,cf. rapport,"Fiscal, Economic",National policy not related to EU policies,,,National policy not related to EU policies,CH4,non EU ETS,"Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",adopted,2014,,,Not available,,with existing measures (WEM),,Nombre de collectivités ayant instauré une tarification incitative,,,,,,,,,,,,,,,,,,,,,,,NA,,,,
FR-WST-007,FR,France,169,Particuliers : Campagnes de sensibilisation de l'Ademe ,Prévention de la production de déchets,cf. rapport,"Information, Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,,,National policy not related to EU policies,CH4,non EU ETS,"Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2005,,,Not available,,with existing measures (WEM),,NA,,,,,,,,,,,,,,,,,,875000,,,,,NA,,,,
FR-WST-008,FR,France,170,Particuliers : Semaine de la réduction des déchets,Prévention de la production de déchets,cf. rapport,"Information, Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,Cette semaine a pour objectif de faire connaître les politiques de la réduction des déchets de l'UE et des États membres (Directive cadre déchets 2008/98/CE du 19 novembre 2008,Cette semaine a pour objectif de faire connaître les politiques de la réduction des déchets de l'UE et des États membres (Directive cadre déchets 2008/98/CE du 19 novembre 2008,National policy not related to EU policies; Cette semaine a pour objectif de faire connaître les politiques de la réduction des déchets de l'UE et des États membres (Directive cadre déchets 2008/98/CE du 19 novembre 2008; Cette semaine a pour objectif de faire connaître les politiques de la réduction des déchets de l'UE et des États membres (Directive cadre déchets 2008/98/CE du 19 novembre 2008,CH4,non EU ETS,"Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2006,,,Not available,,with existing measures (WEM),,"Nombre de visiteurs, nombre d'actions, fréquentation du site",,,,,,,,,,,,,,,,,,715548,,,,,NA,,,,
FR-WST-009,FR,France,171,Entreprises : dispositions législatives relatives aux Installations Classées pour la Protection de l'Environnement (ICPE),Prévention de la production de déchets,cf. rapport,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,,,National policy not related to EU policies,CH4,non EU ETS,"Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,,,,Not available,,with existing measures (WEM),,Quantités de déchets produits,,,,,,,,,,,,,,,,,,,,,,,NA,,,,
FR-WST-010,FR,France,172,Maîtrise / captation du méthane des décharges,Prévention des émissions diffuses liées aux déchets,cf. rapport,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Waste: Landfill directive 1999/31/EC,,,Waste: Landfill directive 1999/31/EC,CH4,non EU ETS,"Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,1997,,,Not available,,with existing measures (WEM),,Nombre d'installations de stockage de déchets non dangereux équipées d'un système de collecte du biogaz,,,,,,,,,,,,,,,,,,,,,,,NA,,,,
FR-WST-011,FR,France,173,Modification de la TGAP sur le stockage et instauration d'une TGAP sur l'incinération. Exonération,Prévention de la production de déchets ; incitation au recyclage et amélioration de la valorisation énergétique,cf. rapport,"Fiscal, Economic",Waste: Waste Incineration Directive 2000/76/EC,,,Waste: Waste Incineration Directive 2000/76/EC,CH4,"EU ETS, non EU ETS","Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2009,,,Not available,,with existing measures (WEM),,"Tonnages de déchets reçus en décharge et en incinération, Tonnages de déchets bénéficiant d’une modulation fiscale attachée aux critères environnementaux spécifiés par la loi",,,,,,,,,,,,,,,,,,,,,,,NA,,,,
FR-WST-012,FR,France,174,"récupération et valorisation du bio-méthane issu de déchets. Arrêtés de tarification pour l'injection,…",Améliorer la valorisation des déchets,cf. rapport,Economic,National policy not related to EU policies,,,National policy not related to EU policies,CH4,non EU ETS,"Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2011,,,Not available,,with existing measures (WEM),,Nombre de projets bénéficiants du tarif d'achat (cogénération ou injkection),,,,,,,,,,,,,,,,,,600000,,,,,NA,,,,
FR-WST-013,FR,France,175,Soutiens à la R&D de l'ADEME dans le secteur des déchets. ,Améliorer la valorisation des déchets,"cf. rapport. Projets d'amélioration de la performance du recyclage et d'amélioration des procédés d'enrichissement de biogaz, de méthanisation,…","Research, Education, Information, Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,"Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2008,2013,,Not available,,with existing measures (WEM),,Nombre de projets soutenus,,,,,,,,,,,,,,,,,,3700000,"budget d'intervention pour 2010 (le budget pour 2008-2009 était de 6,4 M€) sur le volet recyclage",,,,NA,,,,
FR-WST-014,FR,France,176,Valorisation d'expérience d'entreprises témoins de gestion optimisée des déchets,Prévention de la production de déchets,cf. rapport;Appel à candidature national Entreprises témoins : Réduire ou recycler ses déchets à la source : un investissement rentable ?,"Education, Information, Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,,,National policy not related to EU policies,CH4,non EU ETS,"Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2013,,,Not available,,with existing measures (WEM),,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,,
FR-ENS-031,FR,France,177,Circulaires Etat Exemplaire,Etat Exemplaire,Fixer les objectifs de l'Etat en matière d'éco-exemplarité,"Planning, Research, Education, Information, Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),,,Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),CO2,"EU ETS, non EU ETS","Energy supply, Energy use - residential, Energy use -Industry / Construction, Energy supply, Energy supply, Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2008,,,National government,MEDDE,with existing measures (WEM),,"Dans un premier temps des indicateurs spécifiques de suivi ont été définis pour les seuls critères relevant des circulaires dites de bonus/malus. Au plan environnemental, il s’agit :
- Audits énergétiques sur 40% en 2009 et 100% en 2010 du patrimoine bâti",,,,,,,,,,,,www.developpement-durable.gouv.fr/spip.php?page=article&id_article=18737,,,,,,,"Dans le cadre de la mise en place d’un fonds incitatif interministériel le dispositif financier est doté de 100 Millions d’euros pour l’année 2010 (sur la base d’indicateurs 2009, cf. circulaire du 11 mars 2010).
Le Plan de relance a permis également de d",,yes,,,,,,
FR-ENS-032,FR,France,178,L’ADEME centre de ressources,Aide à la diffusion de bonnes pratiques concernant l'éco-exemplarité dans le secteur public,Mise à disposition des services de l’Etat d'exemples reproductibles et d'information en matière d’éco-responsabilité.,"Information, Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),,,Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),CO2,"EU ETS, non EU ETS","Energy supply, Energy use - residential, Energy use -Industry / Construction, Energy supply, Energy supply, Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2003,,,Research institutions,ADEME,with existing measures (WEM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR-ENS-033,FR,France,179,Hauts Fonctionnaires au Développement Durable,Préparer la contribution de chaque ministère à la stratégie nationale de développement durable,Haut fonctionnaire présent dans chaque ministère,"Planning, Research, Education, Information, Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),,,Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),CO2,"EU ETS, non EU ETS","Energy supply, Energy use - residential, Energy use -Industry / Construction, Energy supply, Energy supply, Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2003,,,National government,MEDDE,with existing measures (WEM),,,,,,,,,,,,,,,,,,,,,,,yes,"contribute to the achievement of the goals settled in the ""circulaire Etat exemplaire""",,,,,
FR-ENS-034,FR,France,180,"Guides d’achat public (achat de véhicules de transport routier,...)",Améliorer l'éco-responsabilité de l'achat public,Mise à disposition de guides d'achat thématiques ,"Information, Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Transport: Clean and Energy efficient road transport Directive 2009/33/EC,Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),,Transport: Clean and Energy efficient road transport Directive 2009/33/EC; Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),CO2,"EU ETS, non EU ETS","Energy supply, Energy use - residential, Energy use -Industry / Construction, Energy supply, Energy supply, Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2005,,,National government,MINEFI,with existing measures (WEM),,,,,,,,,,,,,,www.economie.gouv.fr/directions_services/daj/marches_publics/oeap/gem/table.html   www.developpement-durable.gouv.fr/IMG/pdf/Ref_-_Commande_publique_de_vehicules.pdf,,,,,,,,,yes,"contribute to the achievement of the goals settled in the ""circulaire Etat exemplaire""",,,,,
FR-CRS-015,FR,France,181,Plans climat-énergie territoriaux - PCET ,Permettre aux collectivités territoriales de décliner dans leur compétences propres une véritable politique climatique et énergétique locale,"Ces plans climat-énergie territoriaux abordent principalement la lutte contre le changement climatique à travers l’urbanisme et l’aménagement, l’amélioration de l’efficacité énergétique des transports et des bâtiments, et le développement des énergies ren","Planning, Research, Education, Information, Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),,,Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),CO2,"EU ETS, non EU ETS","Cross-cutting, Land use / land-use change / forestry, Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2010,,,"National government, Regional entities, Research institutions",MEDDE / Collectivités territoriales/ ADEME,with existing measures (WEM),,,,,,,,,,,,,,,,,,,,Entre 25 000 et 100 000 euros par collectivité,,,yes,must be compatible with the SRCAE,,,,,
FR-CRS-016,FR,France,182,Bilan gaz à effet de serre obligatoire,Réaliser avant le 31 décembre 2012 un bilan des émissions de gaz à effet de serre du secteur public,La loi n° 2010-788 du 12 juillet 2010 portant engagement national pour l'environnement (article 75) prévoit que l'État ainsi que l’ensemble des collectivités de plus de 50 000 habitants devront réaliser avant le 31 décembre 2012 un bilan de leurs émission,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),,,Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),CO2,"EU ETS, non EU ETS","Cross-cutting, Land use / land-use change / forestry, Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2010,,,National government,MEDDE,with existing measures (WEM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR-CRS-017,FR,France,183,"Schémas Régionaux du Climat, de l’Air et de l’Energie","Définir les orientations régionales et stratégiques en matière de réduction des émissions de gaz à effet de serre, de lutte contre la pollution atmosphérique, d'amélioration de la qualité de l'air, de maîtrise de la demande énergétique, de développement d",Ces schémas définissent la contribution de chaque région et de ses territoires à l'atteinte des objectifs nationaux et internationaux de la France.,"Planning, Research, Education, Information, Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),,,Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),CO2,"EU ETS, non EU ETS","Cross-cutting, Land use / land-use change / forestry, Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2010,,,"National government, Regional entities, Local government",MEDDE / Conseils régionaux / DREAL,with existing measures (WEM),,,,,,,,,,,,,,,,,,,,"Entre 9 et 11,7 millions d’euros (coût total Etat et régions)",,,yes,PCET must be conform to the SRCAE,,,,,
FR-RES-035,FR,France,184,Réforme du code de l’urbanisme,Renforcer la prise en compte des enjeux environnementaux dans le code de l'urbanisme,"Les collectivités territoriales pourront conditionner la création de nouveaux quartiers, d'opérations d'aménagement à dominante d'habitat ou de bureaux à la création ou au renforcement correspondant des infrastructures de transport, et prescrire, dans cer","Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),,,Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),CO2,"EU ETS, non EU ETS","Energy use - residential, Energy use -Industry / Construction, Energy supply, Energy supply, Energy supply",implemented,2009,,,National government,MEDDE,with existing measures (WEM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
